Area Buffer/hectar,Comercial,,,,Mixed Use,,,,Residencial,,,,,,,,,,,,,
113.072474,C-COR1 ,,C-COR2,,MU-1,,MU-2,,M-H1,,M-H2,,M-H3,,M-X1,,M-X2,,,,Average TOD Zoning/Station,2.45397445
100,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,Area,% Area,,Rank,,Total % Supporting Zoning
Westbrook Station,1.691064,1.495557619,0.460668,0.407409499,4.130503,3.652969511,5.509947,3.230644366,0.465353,0.411552859,0,0,0,0,0,0,0,0,,42,Chinook Station,8.029837673
Somerset-Bridlewood Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,43,Sunalta Station,8.770958704
McKnight Westwinds Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,44,Westbrook Station,9.198133854
Brentwood Station,0,0,1.262934,1.116924354,0,0,0,0,0,0,1.517686,1.342224103,0,0,0,0,0,0,,45,Bridgeland Station,9.575513934
Shaganappi Point Station,0,0,0.234593,0.20747136,6.867312,6.073372022,0,5.371220605,0.267294,0.23639175,0,0,0,0,0,0,0.178637,0.157984515,,46,Shaganappi Point Station,12.04644025
3rd Street SW Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,47,Heritage Station,13.44311461
,,,,,,,,,,,,,,,,,,,,,,
% sumed,,15.51456723,,21.36255991,,26.33030122,,23.28621661,,10.71397094,,15.25039507,,2.095381764,,0.201566298,,0.581840104,,,,
comercial,,36.87712714,,,,49.61651783,,,,28.05974777,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
area sum,17.542705,,24.155175,,29.772323,,10.219865,,12.114552,,17.243999,,2.3693,,0.227916,,0.657901,,,,,
comercial,41.69788,,,,39.992188,,,,32.613668,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
total TOD Area,,,,,,,,,,,,,,,,,,,,,,
5314.406137,0.007846197,,,,0.007525241,,,,0.006136841,,,,,,,,,,,,,
% comercial,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
total zoning area,0.02150828,,,,,,,,,,,,,,,,,,,,,
,,Haritage zoning area,12.316825,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,total,zoning,,,,,,,,,,,,,,,,,,,,
,5314.406137,0.02150828,,,,,,,,,,,,,,,,,,,,
